split,class,label,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,wc00_x,wc00_y,wc01_x,wc01_y,wc02_x,wc02_y,wc03_x,wc03_y,wc04_x,wc04_y,wc05_x,wc05_y,wc06_x,wc06_y,wc07_x,wc07_y,wc08_x,wc08_y,wc09_x,wc09_y,wc10_x,wc10_y,wc11_x,wc11_y,wc12_x,wc12_y,wc13_x,wc13_y,wc14_x,wc14_y,wc15_x,wc15_y,wc16_x,wc16_y,wc17_x,wc17_y,wc18_x,wc18_y,wc19_x,wc19_y,wc20_x,wc20_y,fb_x,fb_y,fb_w,fb_h,hand_detected,fb_detected,H00,H01,H02,H10,H11,H12,H20,H21,neck_cos,neck_sin,neck_len_norm,fret_thumb,fret_index,fret_mid,fret_ring,fret_pinky,str_thumb,str_index,str_mid,str_ring,str_pinky,inlay_fret3,inlay_fret5,inlay_fret7,inlay_fret9,inlay_fret12,H_valid,bund_det_rate
train,A,0,0.4344787,0.6942375,4.3144817e-07,0.41183728,0.604697,-0.011410085,0.3815445,0.5378844,-0.033429418,0.37239817,0.48155248,-0.056275282,0.36493784,0.43086123,-0.07861257,0.30350453,0.5809506,-0.05322831,0.3179178,0.49804962,-0.08794492,0.33625165,0.4423522,-0.10850023,0.35223663,0.39973307,-0.12120603,0.3192552,0.62669843,-0.06710449,0.35137632,0.5103309,-0.10472496,0.3931569,0.48711976,-0.11276563,0.4142387,0.4882343,-0.11499424,0.35420796,0.65979666,-0.081273206,0.38237348,0.54509616,-0.11533979,0.4188675,0.51563275,-0.11011313,0.4315763,0.52151227,-0.10148954,0.3932833,0.68037045,-0.09616108,0.41482708,0.58154523,-0.116515614,0.43596926,0.5457876,-0.11071466,0.4413978,0.5432541,-0.104140714,0.0,0.0,-0.16952388,-0.6704195,-0.39633605,-1.1706675,-0.4648177,-1.5924436,-0.52067566,-1.9719859,-0.9806474,-0.84821653,-0.87273043,-1.468924,-0.7354588,-1.8859491,-0.61577386,-2.2050529,-0.86271685,-0.50568736,-0.6222153,-1.3769698,-0.30939022,-1.5507594,-0.1515437,-1.5424145,-0.60101384,-0.2578699,-0.39012918,-1.1166708,-0.11688628,-1.3372732,-0.021731153,-1.2932513,-0.30844367,-0.103827015,-0.14713825,-0.8437644,0.011160345,-1.111494,0.051805507,-1.1304631,0.13706897,0.5203555,0.862931,0.4796445,1.0,1.0,0.07492507,0.0,-47.652348,3.0626842e-18,0.047818292,-86.7902,-0.0,-0.0,1.0,0.0,0.68977356,0.16666667,0.16666667,0.20833333,0.25,0.25,0.0,0.0,0.0,0.002411714,0.04774072,0.7058,0.6088,0.4101,0.1757,0.2639,1.0,0.0
train,A,0,0.4377618,0.6887207,4.786349e-07,0.41410407,0.5924792,-0.009525439,0.38405457,0.5191583,-0.03121301,0.3747794,0.4561935,-0.054627616,0.36604306,0.3990031,-0.07702537,0.30369484,0.568988,-0.052437555,0.3160921,0.47907525,-0.086913906,0.3361718,0.41787064,-0.106480226,0.35481912,0.3758297,-0.11790704,0.3195245,0.61567545,-0.06692409,0.35347185,0.49447158,-0.1055956,0.39720774,0.4676044,-0.11373746,0.41965127,0.47167754,-0.11542173,0.35633457,0.6474649,-0.08119974,0.3857463,0.52679706,-0.11510417,0.42461628,0.49588284,-0.107952915,0.43822026,0.5065127,-0.09765836,0.39628488,0.6655415,-0.096179746,0.42167348,0.55895257,-0.11622891,0.44250676,0.5258169,-0.10910142,0.4466542,0.5303318,-0.10097731,0.0,0.0,-0.17022303,-0.6924802,-0.3864363,-1.2200416,-0.45317334,-1.6730882,-0.5160334,-2.0845869,-0.9646436,-0.861505,-0.8754424,-1.5084486,-0.7309642,-1.9488304,-0.59679234,-2.251325,-0.8507455,-0.5255779,-0.60648626,-1.3976685,-0.29179618,-1.5909841,-0.13030964,-1.561677,-0.5858883,-0.29684547,-0.37426394,-1.165079,-0.09458525,-1.3875141,0.00329865,-1.3110297,-0.29843637,-0.16677964,-0.11575939,-0.9337124,0.034141015,-1.1721313,0.06398283,-1.1396457,0.13534483,0.45470184,0.8646552,0.54529816,1.0,1.0,0.07477567,-1.6705505e-18,-46.95912,0.0,0.04206099,-66.708725,-4.4276093e-20,-6.226277e-21,1.0,0.0,0.69115174,0.16666667,0.16666667,0.20833333,0.25,0.25,0.0,0.0,0.031131055,0.09501383,0.13869469,0.7056,0.5683,0.4956,0.2544,0.2684,1.0,0.0
train,A,0,0.48188984,0.606197,4.6220748e-07,0.45170784,0.5025698,-0.0124095045,0.42570376,0.4172672,-0.03908521,0.42732525,0.35018784,-0.06666939,0.44023955,0.3015213,-0.09304378,0.3472577,0.4759595,-0.06697926,0.38250834,0.3776301,-0.10527817,0.42312583,0.33460706,-0.12383216,0.45347428,0.31431592,-0.1339755,0.3713768,0.52854127,-0.08248767,0.4182144,0.40804914,-0.123322636,0.46265078,0.37910765,-0.12951219,0.4861678,0.37941256,-0.131389,0.41054747,0.567807,-0.09782447,0.45090806,0.44389942,-0.1321061,0.48691076,0.4131951,-0.12551638,0.5014404,0.41612875,-0.11695451,0.45343786,0.5914647,-0.114079356,0.48471573,0.48399353,-0.13283624,0.50556815,0.451125,-0.12558042,0.51142025,0.44712782,-0.118722565,0.0,0.0,-0.22345676,-0.7672187,-0.41598162,-1.3987685,-0.40397674,-1.8954002,-0.30836388,-2.25571,-0.9967682,-0.9642317,-0.73578507,-1.6922274,-0.43506768,-2.0107546,-0.21037863,-2.160983,-0.8181989,-0.57493526,-0.47143012,-1.4670159,-0.14243917,-1.6812882,0.03167237,-1.6790308,-0.5281934,-0.28422567,-0.229378,-1.2015932,0.037173066,-1.4289169,0.14474536,-1.4071972,-0.21064827,-0.109072685,0.020921849,-0.9047507,0.17530568,-1.1480976,0.21863255,-1.1776912,0.13577586,0.3947821,0.86422414,0.6052179,1.0,1.0,0.07481297,-6.3407013e-19,-47.132168,0.0,0.03789673,-52.1838,1.1074544e-20,-2.5446995e-37,1.0,0.0,0.69080716,0.25,0.25,0.29166666,0.29166666,0.29166666,0.0,0.0,0.0,0.035271008,0.08649068,0.6508,0.662,0.3063,0.2852,0.3417,1.0,0.0
train,A,0,0.48294073,0.6084568,5.8262697e-07,0.44997117,0.50401664,-0.016817506,0.42639586,0.41741097,-0.04966235,0.43266064,0.3478151,-0.081876196,0.44760373,0.2950425,-0.11304348,0.35080802,0.47506765,-0.08689789,0.38738868,0.3787368,-0.1274028,0.42851716,0.32838005,-0.14289457,0.46156,0.3050617,-0.14961705,0.37705696,0.53371567,-0.1011674,0.42941636,0.403513,-0.14216888,0.47375497,0.37650573,-0.14057752,0.4954636,0.38195416,-0.13635586,0.41970125,0.5767473,-0.11487154,0.46315652,0.44129255,-0.14967048,0.4976806,0.40901557,-0.13559712,0.50986344,0.41909492,-0.121385254,0.4650287,0.6032359,-0.12966806,0.49729377,0.4853313,-0.14908686,0.516189,0.4509713,-0.13739182,0.51950234,0.45432118,-0.12660523,0.0,0.0,-0.2543838,-0.8058306,-0.43628418,-1.4740554,-0.38794693,-2.0110373,-0.27265027,-2.4182158,-1.0194985,-1.0291928,-0.7372526,-1.7724544,-0.41991684,-2.1609926,-0.1649676,-2.3409104,-0.8169692,-0.5766813,-0.4129789,-1.5812881,-0.07087473,-1.7896686,0.09662296,-1.74763,-0.48793793,-0.24466145,-0.15264937,-1.2897918,0.113728665,-1.538832,0.20772794,-1.4610624,-0.13820414,-0.040282905,0.11074396,-0.95000136,0.25653404,-1.2151133,0.282099,-1.1892667,0.13685344,0.3959289,0.86314654,0.6040711,1.0,1.0,0.074906364,-6.80027e-19,-47.565544,-1.5313421e-18,0.037968677,-52.434742,-2.217674e-20,-1.1240986e-20,1.0,0.0,0.6899458,0.25,0.25,0.29166666,0.29166666,0.29166666,0.0,0.0,0.0,0.038349826,0.09666458,0.6459,0.6593,0.3075,0.3124,0.3632,1.0,1.0
train,A,0,0.48397866,0.6114346,5.620306e-07,0.44945595,0.50288415,-0.016599054,0.42550933,0.4059441,-0.05045288,0.43234748,0.33000353,-0.083947994,0.44632843,0.2756068,-0.11642628,0.34964693,0.4637224,-0.088749155,0.39005342,0.36185247,-0.12873062,0.43415177,0.3096019,-0.14344683,0.46951008,0.28630537,-0.14984229,0.37802005,0.52738106,-0.10373446,0.4331885,0.39083442,-0.14331411,0.476805,0.36387312,-0.14057565,0.49740157,0.37044215,-0.13616954,0.423558,0.5733835,-0.11799005,0.46952116,0.43195027,-0.15055682,0.5028223,0.3977426,-0.13462211,0.51438355,0.40753305,-0.11996638,0.47279793,0.5995302,-0.13356115,0.5069452,0.4744873,-0.15162376,0.5218661,0.43716758,-0.1394274,0.52137834,0.44029346,-0.12860624,0.0,0.0,-0.2552535,-0.8025985,-0.4323096,-1.5193522,-0.38174984,-2.0808406,-0.27837765,-2.4830382,-0.99321985,-1.092152,-0.69446295,-1.8453563,-0.36840928,-2.2316856,-0.10697757,-2.4039352,-0.7834351,-0.62147355,-0.3755315,-1.63107,-0.053040475,-1.830416,0.09924608,-1.781846,-0.44673735,-0.2813414,-0.106895596,-1.3270683,0.13932568,-1.5799924,0.22480725,-1.507604,-0.082667895,-0.08801826,0.1698096,-1.0125586,0.28013146,-1.2884926,0.27652517,-1.2653805,0.5461207,0.39306194,0.3612069,0.16456422,1.0,1.0,0.1789976,-7.3270547e-19,-453.57996,0.0,0.13937283,-191.08014,-1.5898181e-19,-8.252529e-20,1.0,0.0,0.2887264,-1.0,-1.0,-1.0,0.041666668,0.041666668,0.0,0.0,0.0,0.08793602,0.28700975,0.5695,0.7045,0.5702,0.7232,0.8477,1.0,1.0
train,A,0,0.47453356,0.6325729,7.893918e-07,0.4386108,0.5151741,-0.031658772,0.41985667,0.41571867,-0.08089872,0.4314857,0.34022444,-0.12511127,0.4448501,0.2819959,-0.1665799,0.33662188,0.49010205,-0.14088245,0.38362122,0.38235924,-0.1927607,0.43304396,0.32592946,-0.20685944,0.46993217,0.30322647,-0.21069667,0.3712977,0.564259,-0.1529705,0.43637174,0.422326,-0.20457366,0.47943395,0.38611948,-0.19475499,0.49871907,0.390814,-0.1838618,0.423361,0.6157405,-0.16365625,0.47635025,0.47047135,-0.20498218,0.5067355,0.4228864,-0.17872924,0.51412255,0.42599428,-0.15593028,0.4770387,0.64222056,-0.17681754,0.5197327,0.51562643,-0.20171797,0.5322966,0.47024357,-0.18500681,0.5276683,0.47026008,-0.16941813,0.0,0.0,-0.29018673,-0.9483561,-0.44168392,-1.7517642,-0.34774366,-2.361612,-0.23978525,-2.8319867,-1.1140606,-1.1508899,-0.7343966,-2.0212443,-0.33515602,-2.477088,-0.037170358,-2.6604846,-0.83394694,-0.55184466,-0.30827394,-1.6983898,0.039585758,-1.9908687,0.19537231,-1.952946,-0.41337565,-0.13597345,0.014675355,-1.309468,0.2601297,-1.6938628,0.31980273,-1.6687572,0.020236813,0.07793456,0.36512208,-0.9447021,0.46661407,-1.3113081,0.4292263,-1.3111748,0.53577584,0.3770069,0.39267242,0.13216743,1.0,1.0,0.16465423,-1.5600588e-17,-409.3304,0.0,0.1735358,-228.19957,9.749489e-20,-0.0,1.0,0.0,0.31387797,-1.0,-1.0,0.041666668,0.041666668,0.041666668,0.0,0.0,0.10446693,0.3706465,0.70556873,0.7542,0.7221,0.7567,0.7761,0.6927,1.0,1.0
train,A,0,0.41645586,0.6593188,5.944072e-07,0.35983828,0.5472077,-0.033199605,0.3214345,0.47068655,-0.07820158,0.3133059,0.3970191,-0.12111782,0.31991223,0.3466226,-0.16076474,0.22486849,0.5570133,-0.10451015,0.25790557,0.4477574,-0.15923524,0.3075431,0.38656092,-0.18037683,0.34656394,0.36389217,-0.18906747,0.2607779,0.624325,-0.1160631,0.30685222,0.48003197,-0.17379376,0.36060345,0.431169,-0.17992157,0.3870577,0.4238118,-0.17919132,0.31385538,0.6644428,-0.12890483,0.35433236,0.5272886,-0.17953369,0.3912304,0.47334546,-0.17284323,0.4047333,0.4696116,-0.16177987,0.3664418,0.68280596,-0.14406809,0.39883357,0.56502616,-0.17299765,0.41908523,0.5135828,-0.16619776,0.42358977,0.50063443,-0.15830685,0.0,0.0,-0.35483012,-0.70261544,-0.5955118,-1.1821839,-0.64645475,-1.643868,-0.6050521,-1.9597096,-1.2007041,-0.64116263,-0.9936562,-1.3258841,-0.68257105,-1.7094107,-0.4380222,-1.8514788,-0.97565496,-0.21931106,-0.6869009,-1.1236149,-0.35003465,-1.4298458,-0.18424234,-1.4759544,-0.64301115,0.032112632,-0.38933644,-0.8274511,-0.15809138,-1.1655202,-0.073466904,-1.1889209,-0.31344503,0.14719716,-0.1104413,-0.59094477,0.016478615,-0.9133472,0.044709127,-0.9944965,0.43728447,0.51548165,0.36810344,0.095183484,1.0,1.0,0.17564403,-1.4927268e-17,-356.38174,4.563293e-17,0.24096386,-433.25302,1.5600324e-19,-7.133963e-20,1.0,0.0,0.29423907,-1.0,-1.0,-1.0,0.041666668,0.041666668,0.0,0.0,0.0,0.0,0.0,0.4439,0.3588,0.4701,0.5161,0.4745,1.0,1.0
train,A,0,0.38504785,0.7893243,6.3152424e-07,0.307637,0.66387624,-0.03407487,0.257542,0.575595,-0.08200919,0.24494676,0.4931726,-0.12867455,0.2408703,0.4262775,-0.17139359,0.15770294,0.69842654,-0.11628572,0.19519758,0.56565696,-0.17514841,0.25146315,0.4934466,-0.19888695,0.29046354,0.46922448,-0.20978649,0.20841138,0.7784176,-0.13043183,0.2549445,0.61272013,-0.18938936,0.3110019,0.5422493,-0.19440934,0.3367112,0.5264342,-0.19618165,0.27567077,0.82360625,-0.14544526,0.31360042,0.6634915,-0.19741929,0.35193986,0.5885252,-0.18464412,0.36522466,0.5793568,-0.17129664,0.34089994,0.8406913,-0.16329865,0.37381113,0.69747126,-0.19516878,0.38834107,0.6344535,-0.18583883,0.38456517,0.6247468,-0.1765724,0.0,0.0,-0.43741643,-0.7088547,-0.72048235,-1.207695,-0.7916529,-1.6734298,-0.8146873,-2.0514262,-1.2846314,-0.51362526,-1.0727648,-1.2638508,-0.75483155,-1.6718816,-0.53445655,-1.8087506,-0.9980991,-0.0616292,-0.7351598,-0.99791646,-0.41840285,-1.3961177,-0.2731303,-1.4854825,-0.6180443,0.19371313,-0.40371966,-0.7110287,-0.18707949,-1.1346321,-0.11201261,-1.1864388,-0.24946144,0.29025376,-0.063494064,-0.5190232,0.018608592,-0.8751104,-0.0027274147,-0.9299588,0.13577586,0.53755736,0.86422414,0.46244267,1.0,1.0,0.07481297,0.0,-47.132168,0.0,0.049597025,-92.99442,-0.0,-0.0,1.0,0.0,0.69080716,0.083333336,0.125,0.16666667,0.16666667,0.20833333,0.0,0.0,0.0,0.090388395,0.18854113,0.2021,0.5871,0.7067,0.6813,0.3997,1.0,1.0
train,A,0,0.35741198,0.8090696,7.651508e-07,0.27817845,0.6801932,-0.034492828,0.23394106,0.5951781,-0.085139,0.23160864,0.51905775,-0.1337519,0.24916989,0.47759578,-0.17926894,0.14984038,0.7287728,-0.11710016,0.18761516,0.60594505,-0.17256348,0.23915665,0.53613317,-0.19422714,0.27591586,0.50791407,-0.20491017,0.1996589,0.8004587,-0.13118653,0.24187875,0.6415122,-0.18904057,0.29680806,0.58013666,-0.19296479,0.32445627,0.56553364,-0.19340916,0.26088133,0.84051645,-0.14584036,0.29745895,0.68450147,-0.19467375,0.33639342,0.6189113,-0.18099585,0.3524707,0.61071116,-0.16712525,0.32057953,0.8550192,-0.16370454,0.35269704,0.71721077,-0.19047791,0.3700689,0.6599544,-0.17923278,0.3713244,0.64963657,-0.16967425,0.0,0.0,-0.5015164,-0.81573576,-0.78152126,-1.3538469,-0.79628456,-1.8356583,-0.6851289,-2.098096,-1.3138448,-0.5082462,-1.0747457,-1.2856966,-0.74850875,-1.7275777,-0.51583767,-1.9061934,-0.9985136,-0.054503188,-0.73127896,-1.0605707,-0.38359845,-1.4490534,-0.20859638,-1.5414846,-0.6110002,0.19904608,-0.3794786,-0.78846604,-0.13303907,-1.2036253,-0.031276345,-1.255529,-0.23313461,0.29084274,-0.02984365,-0.5814293,0.08011326,-0.94383895,0.08805996,-1.0091468,0.13663793,0.5673739,0.8633621,0.43262616,1.0,1.0,0.07488767,1.3105953e-18,-47.478783,0.0,0.053015243,-104.91716,-2.2171203e-20,7.1268717e-37,1.0,0.0,0.6901181,0.083333336,0.125,0.16666667,0.16666667,0.16666667,0.0,0.0,0.0,0.10017264,0.19014734,0.1977,0.594,0.7131,0.6639,0.2955,1.0,1.0
train,A,0,0.3917563,0.59146106,6.255436e-07,0.35166582,0.518983,0.0038299125,0.3321914,0.43602648,-0.022682678,0.3433811,0.364792,-0.050305575,0.35973498,0.31615633,-0.07662179,0.28417298,0.42717648,-0.08485043,0.32602257,0.31779134,-0.1164362,0.37366194,0.28213164,-0.11753066,0.40766147,0.28025967,-0.11123177,0.3074863,0.46791494,-0.10327679,0.37669903,0.34020436,-0.13057587,0.42094848,0.33259347,-0.11111363,0.43673342,0.35022563,-0.09272899,0.34874234,0.50502044,-0.1176599,0.40944365,0.3776697,-0.13309318,0.44194427,0.37111,-0.09890037,0.44729656,0.39923546,-0.07237788,0.39463753,0.5357243,-0.1319219,0.4371946,0.42955005,-0.13843758,0.45751005,0.3997359,-0.11658133,0.46065164,0.3998291,-0.09705771,0.0,0.0,-0.26807478,-0.48464233,-0.39829525,-1.0393515,-0.3234726,-1.5156784,-0.21411838,-1.8408927,-0.7193822,-1.0985292,-0.43954474,-1.8299598,-0.120992385,-2.068407,0.106353834,-2.0809245,-0.56349206,-0.8261215,-0.10068411,-1.6800896,0.19520068,-1.7309817,0.3007506,-1.6130799,-0.2876234,-0.57800645,0.118270814,-1.4295685,0.3355942,-1.4734316,0.3713836,-1.2853637,0.019266045,-0.37269765,0.3038343,-1.0826577,0.43967864,-1.2820174,0.4606856,-1.2813942,0.16530173,0.45269495,0.83469826,0.54730505,1.0,1.0,0.077459335,2.6180196e-18,-59.41131,3.0626842e-18,0.04190676,-66.17077,2.293257e-20,6.2034463e-21,1.0,0.0,0.66720605,0.16666667,0.20833333,0.20833333,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.6378,0.4411,0.3761,0.3165,0.3538,1.0,1.0
